,index,filename,chisquare_distance
135,1154,image_1155.jpg,6390.27
136,1268,image_1269.jpg,6490.35
137,357,image_0358.jpg,6531.8
138,296,image_0297.jpg,6545.18
139,704,image_0705.jpg,6582.63
140,1043,image_1044.jpg,6592.51
141,173,image_0174.jpg,6682.74
142,180,image_0181.jpg,6749.65
143,592,image_0593.jpg,6761.88
144,1125,image_1126.jpg,6779.13
145,1305,image_1306.jpg,6833.26
146,45,image_0046.jpg,6834.53
147,32,image_0033.jpg,6834.7
148,1111,image_1112.jpg,6837.65
149,245,image_0246.jpg,6901.46
150,597,image_0598.jpg,6907.86
151,866,image_0867.jpg,6908.92
152,1270,image_1271.jpg,6962.03
153,1192,image_1193.jpg,6970.38
154,325,image_0326.jpg,7092.56
155,1022,image_1023.jpg,7110.75
156,1245,image_1246.jpg,7130.29
157,1173,image_1174.jpg,7154.44
158,796,image_0797.jpg,7200.97
159,872,image_0873.jpg,7278.06
160,1128,image_1129.jpg,7288.25
161,1057,image_1058.jpg,7295.3
162,419,image_0420.jpg,7348.11
163,1215,image_1216.jpg,7360.64
164,802,image_0803.jpg,7463.18
165,594,image_0595.jpg,7586.3
166,772,image_0773.jpg,7595.8
167,73,image_0074.jpg,7672.05
168,399,image_0400.jpg,7718.12
169,277,image_0278.jpg,7718.12
170,140,image_0141.jpg,7746.17
171,829,image_0830.jpg,7810.42
172,1036,image_1037.jpg,7877.5
173,675,image_0676.jpg,7887.9
174,1238,image_1239.jpg,7941.93
175,998,image_0999.jpg,8002.47
176,450,image_0451.jpg,8028.87
177,19,image_0020.jpg,8045.53
178,615,image_0616.jpg,8058.77
179,1198,image_1199.jpg,8060.0
180,845,image_0846.jpg,8109.27
181,61,image_0062.jpg,8257.09
182,212,image_0213.jpg,8262.39
183,901,image_0902.jpg,8318.95
184,1044,image_1045.jpg,8329.98
185,358,image_0359.jpg,8401.32
186,165,image_0166.jpg,8435.37
187,1269,image_1270.jpg,8449.64
188,1298,image_1299.jpg,8507.04
189,1182,image_1183.jpg,8668.8
190,587,image_0588.jpg,8713.38
191,557,image_0558.jpg,8844.5
192,313,image_0314.jpg,8953.04
193,917,image_0918.jpg,9083.5
194,42,image_0043.jpg,9083.71
195,492,image_0493.jpg,9171.55
196,551,image_0552.jpg,9185.11
197,1001,image_1002.jpg,9189.97
198,1232,image_1233.jpg,9203.54
199,1107,image_1108.jpg,9209.81
200,921,image_0922.jpg,9211.26
201,961,image_0962.jpg,9239.82
202,10,image_0011.jpg,9330.02
203,1216,image_1217.jpg,9381.36
204,328,image_0329.jpg,9386.62
205,395,image_0396.jpg,9454.05
206,1228,image_1229.jpg,9529.47
207,1081,image_1082.jpg,9546.83
208,66,image_0067.jpg,9592.63
